,Positions,Locations,Categories
0,Technical Support Engineer,"Gainesville, FL",Client Services – Technical Support
1,Customer Support Manager (Integration),"Gainesville, FL",Customer Success – Integration
2,"Ruby Software Engineer - Perfect Audience (Remote, East Coast)",Remote,Development – Software Engineering
3,Software Engineer,"Gainesville, FL",Development – Software Engineering
4,"Software Engineer (Remote, East Coast)",Remote,Development – Software Engineering
5,Payroll & Benefits Specialist,"Gainesville, FL",Finance – Accounting
6,"Sales - Territory Manager (Gainesville, FL)","Gainesville, FL",Sales – Partnerships
7,Sales - Territory Manager (Remote),Remote,Sales – Partnerships
8,"Sales Executive (Gainesville, FL)","Gainesville, FL",Sales – Partnerships
9,Sales Executive (Remote),Remote,Sales – Partnerships
10,"Business Development Representative (Gainesville, FL)","Gainesville, FL",Sales – Sales Development
11,Business Development Representative (Remote),Remote,Sales – Sales Development
